,document,term,tfidf
925194,Klaus Kinski,silent,0.09897975167580546
911455,Klaus Kinski,dorothy,0.09809678704722566
920387,Klaus Kinski,ohio,0.05055212883477982
919016,Klaus Kinski,mgm,0.04836671994538293
929006,Klaus Kinski,whales,0.04823547656557049
905180,Klaus Kinski,actress,0.04602990068791988
36596,Lauren Bacall,guinness,0.88547082646725
27546,Lauren Bacall,alec,0.11889180107420744
39475,Lauren Bacall,lean,0.09511344085936596
50862,Lauren Bacall,wars,0.08248358186666714
29842,Lauren Bacall,british,0.08165685519341802
40036,Lauren Bacall,lucas,0.07926120071613829
35169,Lauren Bacall,film,0.07113240837005827
42286,Lauren Bacall,obi,0.06559062918919936
51556,Lauren Bacall,zhivago,0.06559062918919936
28560,Lauren Bacall,award,0.06222946009773432
1159779,Laurence Olivier,toole,0.827291220951636
1140337,Laurence Olivier,buck,0.10582881394892754
1145558,Laurence Olivier,film,0.08651943541689677
1140225,Laurence Olivier,bristol,0.08466305115914204
1149898,Laurence Olivier,leeds,0.08461980280438534
1138438,Laurence Olivier,arabia,0.0831751433065969
1149822,Laurence Olivier,lawrence,0.07867780190794772
1138949,Laurence Olivier,award,0.07620034467168776
1153728,Laurence Olivier,peter,0.07468913453199984
1137466,Laurence Olivier,academy,0.07077885731075746
677642,Lillian Gish,crawford,0.8630145004876975
676473,Lillian Gish,christina,0.1575637672777508
684182,Lillian Gish,joan,0.11844489078905361
680744,Lillian Gish,film,0.09541844515195046
686609,Lillian Gish,mgm,0.08362898792386501
685169,Lillian Gish,lesueur,0.07874163955594471
693600,Lillian Gish,steele,0.07371174681969793
686917,Lillian Gish,mommie,0.06999256849417307
678073,Lillian Gish,dearest,0.06354442679766496
680413,Lillian Gish,fairbanks,0.06335053183627049
996081,Madhubala,mastroianni,0.7297748553276552
995915,Madhubala,marcello,0.28806902183986394
993847,Madhubala,italian,0.1610040464340026
1006111,Madhubala,vita,0.13676714778917742
988205,Madhubala,deneuve,0.11397262315764786
988843,Madhubala,dolce,0.11397262315764786
990502,Madhubala,fellini,0.10829342596378672
1001343,Madhubala,rome,0.09170107452260882
985770,Madhubala,carabella,0.09117809852611827
1004341,Madhubala,tatò,0.09117809852611827
1511453,Mae West,leigh,0.7860618137247701
1514343,Mae West,olivier,0.3695645917967619
1509194,Mae West,holman,0.09118420060465417
1507080,Mae West,film,0.0874761853927898
